Chemical Formula;Molecular Weight (monoisotopic);Generic Name;CAS Number
C15H8N2O3Re;6,480000; (1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I);
Li;7,016004; Lithium;7439-93-2
Mg;23,985042; Magnesium;7439-95-4
Al;26,981538; Aluminium;7429-90-5
NO;29,997989; Nitric Oxide;10102-43-9
CH2O;30,010565; Formaldehyde;50-00-0
CH5N;31,042199; Methylamine;74-89-5
C2H8;32,062600; Terminal Dimethyl;
MgO;39,979957; Magnesium oxide;1309-48-4
C2H3N;41,026549; Methyl Isocyanide;
CH2N2;42,021798; Cyanamide;420-04-2
CH4N2;44,037448; Methylhydrazine;
CH2O2;46,005479; Formic Acid;64-18-6
C2H6O;46,041865; Ethanol;64-17-5
Cl2H6N2Pt;55,280000; Cisplatin;15663-27-1
Fe;55,934942; Iron;7439-89-6
C3H6N;56,050024; Ethyl Isocyanide;
C2H6N2;58,053098; 2-Aminoethanimidic Acid;
C2H5NO;59,037114; Nitrosoethane;925-91-7
C2H5NO;59,037114; Acetamide;60-35-5
CH5N3;59,048347; Guanidine;113-00-8
C3H9N;59,073499; Methylethylamine;624-78-2
C2H4O2;60,021129; Acetic acid;64-19-7
CH4N2O;60,032363; Urea;57-13-6
C3H8O;60,057515; 1-Proponol;71-23-8
CH3NO2;61,016378; Carbamic Acid;463-77-4
C2H7NO;61,052764; Ethanolamine;141-43-5
O2P;62,963591; Hypophosphite;
Zn;63,929147; Zinc;7440-66-6
C2H2N3;68,024872; 1,2,4-Triazole;
C3H4N2;68,037448; Pyrazole;288-13-1
C4H7N;69,057849; N-Propyl Isocyanide;
C4H6O;70,041865; Crotonaldehyde;
C3H4O2;72,021129; Acrylic Acid;79-10-7
C3H4O2;72,021129; Malonaldehyde;
C3H4O2;72,021129; Pyruvoyl Group;
C5H12;72,093900; Pentane;
C3H7NO;73,052764; Dimethylformamide;68-12-2
C3H7NO;73,052764; Propionamide;
C4H11N;73,089149; Butylamine;109-73-9
ClK;73,932560; Potassium Chloride;7447-40-7
C2H2O3;74,000394; Glyoxalate, Glyoxylate;298-12-4
C3H6O2;74,036779; Propanoic Acid;79-09-4
C3H6O2;74,036779; Lactaldehyde;598-35-6
C2H6N2O;74,048013; Glycinamid;
CH6N4;74,059246; Aminoguanidine;79-17-4
C4H10O;74,073165; Butan-1-Ol;71-36-3
C4H10O;74,073165; 2-Butanol;78-92-2
C4H10O;74,073165; 2-Methyl-2-Propanol;
C4H12N;74,096974; Tetramethylammonium Ion;
C2H5NS;75,014270; 2-Thioethenamine;
C2H5NO2;75,032028; Glycine;56-40-6
C2H5NO2;75,032028; Acetohydroxamic Acid;546-88-3
CH5N3O;75,043262; N-Hydroxyguanidine;
C2H4O3;76,016044; Hydroxyacetic Acid;79-14-1
CH4N2O2;76,027277; Hydroxyurea;127-07-1
C3H8O2;76,052430; 1,2-Propanediol;57-55-6
C3H8O2;76,052430; R-1,2-Propanediol;4254-14-2
C3H8O2;76,052430; 1,3-Propandiol;
C3H8O2;76,052430; 2-Methoxyethanol;109-86-4
C3H8O2;76,052430; S-1,2-Propanediol;
C3H10NO;76,076239; F-Loop of Vitamin B12;78-96-6
C2H7NS;77,029920; Cysteamine;60-23-1
AlH3O3;77,989757; Aluminum hydroxide;
